proceso,region,region_cod,zona_cod,zona,centro,centro_nombre,anio,mes,semana,dia,ancla,horario,horario_sin_asignar,real,real_real,ancla_real,horario_real,ancla_realreal,horario_realreal,tiene_realreal
Preparar NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202606,202627,2026-06-29,0.0,0.0,0.0,0.0,0,0,0,0,0,1
Preparar NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202606,202627,2026-06-30,15.0,18.5,0.0,9.0,11.22,6,9.5,3.78,7.28,1
Preparar NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202606,202627,2026-07-01,15.0,18.5,0.0,11.5,11.87,3.5,7,3.13,6.63,1
Preparar NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202606,202627,2026-07-02,15.0,26.5,0.0,14.5,11.7,0.5,12,3.3,14.8,1
Preparar NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202606,202627,2026-07-03,22.0,28.5,0.0,18.5,18.62,3.5,10,3.38,9.88,1
Preparar NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202606,202627,2026-07-04,22.0,28.0,0.0,16.0,16.05,6,12,5.95,11.95,1
Preparar NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202606,202627,2026-07-05,0.0,0.0,0.0,0.0,0,0,0,0,0,1
Preparar NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202628,2026-07-06,22.0,29.5,0.0,16.5,17.25,5.5,13,4.75,12.25,1
Preparar NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202628,2026-07-07,22.0,27.5,0.0,19.0,22.07,3,8.5,-0.07,5.43,1
Preparar NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202628,2026-07-08,22.0,26.5,0.0,16.5,19,5.5,10,3,7.5,1
Preparar NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202628,2026-07-09,22.0,26.5,0.0,17.0,17.65,5,9.5,4.35,8.85,1
Preparar NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202628,2026-07-10,22.0,33.0,0.0,20.5,22.53,1.5,12.5,-0.53,10.47,1
Preparar NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202628,2026-07-11,22.0,25.5,0.0,18.0,18.25,4,7.5,3.75,7.25,1
Preparar NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202628,2026-07-12,0.0,0.0,0.0,0.0,0,0,0,0,0,1
Preparar NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202629,2026-07-13,18.5,18.0,0.0,16.5,14.82,2,1.5,3.68,3.18,1
Preparar NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202629,2026-07-14,18.5,28.5,0.0,14.0,16.03,4.5,14.5,2.47,12.47,1
Preparar NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202629,2026-07-15,18.5,15.0,0.0,13.5,13.57,5,1.5,4.93,1.43,1
Preparar NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202629,2026-07-16,18.5,24.0,0.0,16.5,16.08,2,7.5,2.42,7.92,1
Preparar NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202629,2026-07-17,18.5,21.0,0.0,17.5,18.07,1,3.5,0.43,2.93,1
Preparar NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202629,2026-07-18,18.5,21.0,0.0,18.0,18.45,0.5,3,0.05,2.55,1
Preparar NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202629,2026-07-19,0.0,0.0,0.0,0.0,0,0,0,0,0,1
Preparar NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202630,2026-07-20,18.5,20.5,0.0,17.0,16.23,1.5,3.5,2.27,4.27,1
Preparar NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202630,2026-07-21,18.5,22.5,0.0,16.0,15.37,2.5,6.5,3.13,7.13,1
Preparar NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202630,2026-07-22,18.5,21.5,0.0,14.0,13.57,4.5,7.5,4.93,7.93,1
Preparar NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202630,2026-07-23,18.5,19.0,0.0,15.0,12.97,3.5,4,5.53,6.03,1
Preparar NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202630,2026-07-24,18.5,25.0,0.0,16.5,18.12,2,8.5,0.38,6.88,1
Preparar NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202630,2026-07-25,18.5,23.5,0.0,18.5,19.1,0,5,-0.6,4.4,1
Preparar NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202630,2026-07-26,0.0,0.0,0.0,0.0,0,0,0,0,0,1
