nivel,tienda,mes,area_batch,estado_veterana,n_dias,n_lotes,uds_total,uds_media_lote,p1_min_medio,p2_min_medio,p3_min_medio,p23_min_medio,p4_min_medio,p5_min_medio,p6_min_medio,p7_min_medio,prep_min_medio,total_min_util_medio,p1_ef_min_medio,p2_ef_min_medio,p3_ef_min_medio,p23_ef_min_medio,p4_ef_min_medio,p5_ef_min_medio,p6_ef_min_medio,p7_ef_min_medio,prep_ef_min_medio,total_min_efec_medio,p1_par_min_medio,p2_par_min_medio,p3_par_min_medio,p23_par_min_medio,p4_par_min_medio,p5_par_min_medio,p6_par_min_medio,p7_par_min_medio,prep_par_min_medio,total_min_paradas_medio,p1_pct_medio,p2_pct_medio,p3_pct_medio,p23_pct_medio,p4_pct_medio,p5_pct_medio,p6_pct_medio,p7_pct_medio,prep_pct_medio,p1_ef_pct_medio,p2_ef_pct_medio,p3_ef_pct_medio,p23_ef_pct_medio,p4_ef_pct_medio,p5_ef_pct_medio,p6_ef_pct_medio,p7_ef_pct_medio,prep_ef_pct_medio,p1_par_pct_medio,p2_par_pct_medio,p3_par_pct_medio,p23_par_pct_medio,p4_par_pct_medio,p5_par_pct_medio,p6_par_pct_medio,p7_par_pct_medio,prep_par_pct_medio,prod_total_min_ud_media,prod_efectiva_min_ud_media,uph_total_media,uph_efec_media,prod_real_oficial,prod_efec_oficial
general_trim,GENERAL,,GLOBAL,Liebre (todas),2.999,,10.985.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3011","0,2851"
general_trim,GENERAL,,SECOS,Liebre (todas),2.999,42.217,6.050.766,"140,77","1,14","10,36","22,23",0,0,"1,02","0,9245","4,01","32,59","39,69","1,09","10,31","21,97",0,0,"0,9973","0,911","2,36","32,28","37,63","0,055","0,0493","0,2581",0,0,"0,0267","0,0135","1,65","0,3074","2,06","0,029","0,26","0,5599",0,0,"0,026","0,0232","0,102","0,8199","0,0289","0,2725","0,5844",0,0,"0,0263","0,0239","0,0639","0,8569","0,0448","0,0294","0,1267",0,0,"0,0197","0,0065","0,773","0,1561","0,2838","0,2693","214,08","225,96",,
general_trim,GENERAL,,REFRIGERADO,Liebre (todas),2.998,18.193,1.881.199,"99,26","0,8066","6,05","11,01",0,"0,0001","0,9021","2,06","3,23","17,06","24,06","0,7733","6,01","10,87",0,"0,0001","0,8902","2,05","2,27","16,89","22,88","0,0334","0,0365","0,1408",0,0,"0,0118","0,009","0,9513","0,1773","1,18","0,0338","0,2505","0,4597",0,0,"0,0377","0,0853","0,1329","0,7103","0,0338","0,2619","0,4773",0,0,"0,0387","0,0886","0,0998","0,7391","0,0365","0,0356","0,1196",0,0,"0,0127","0,0078","0,7878","0,1552","0,2457","0,2337","250,77","264,23",,
general_trim,GENERAL,,CONGELADO,Liebre (todas),2.998,14.728,650.438,"42,56","0,882","2,91","6,45",0,0,"0,7983","1,87","3,25","9,36","16,16","0,845","2,9","6,38",0,0,"0,7846","1,86","2,23","9,29",15,"0,0369","0,0069","0,0697",0,0,"0,0136","0,0127","1,02","0,0767","1,16","0,0553","0,1791","0,3981",0,0,"0,0501","0,1172","0,2002","0,5772","0,0565","0,1917","0,4249",0,0,"0,0521","0,1244","0,1504","0,6166","0,0349","0,0115","0,0532",0,0,"0,0137","0,0101","0,8765","0,0647","0,3913","0,3628","160,56","172,99",,
general_trim,GENERAL,,FRESCOS,Liebre (todas),2.998,17.236,1.203.512,"66,93","1,02",0,0,"16,02","1,11","0,9757","3,53","3,47","16,02","26,13","0,9923",0,0,"15,92","1,1","0,9545","3,51","2,2","15,92","24,67","0,03",0,0,"0,1068","0,0068","0,0212","0,0214","1,27","0,1068","1,46","0,0391",0,0,"0,6121","0,0414","0,0381","0,1357","0,1337","0,6121","0,0399",0,0,"0,643","0,0435","0,0396","0,1422","0,0918","0,643","0,0255",0,0,"0,0813","0,0061","0,0196","0,0157","0,8518","0,0813","0,3989","0,3757","155,43","164,56",,
general_trim,GENERAL,,FYV,Liebre (todas),2.997,13.684,972.936,"67,76","1,26",0,0,"8,85","3,98","1,17","2,86","2,78","8,85","20,9","1,24",0,0,"8,8","3,93","1,15","2,85","1,77","8,8","19,73","0,0265",0,0,"0,0562","0,0473","0,0153","0,0099","1,01","0,0562","1,16","0,0617",0,0,"0,4212","0,1895","0,0577","0,1382","0,1317","0,4212","0,0635",0,0,"0,442","0,1981","0,0601","0,1447","0,0916","0,442","0,0267",0,0,"0,0533","0,0492","0,0155","0,0082","0,8469","0,0533","0,3228","0,3044","197,87","209,35",,
general_trim,GENERAL,,HORNO,Liebre (todas),2.992,8.803,179.451,"19,33","0,4992","1,16","1,58",0,0,"0,8204","3,07","0,5148","2,74","7,65","0,4782","1,16","1,56",0,0,"0,7867","3,06","0,3161","2,72","7,36","0,021","0,0007","0,0221",0,0,"0,0338","0,013","0,1987","0,0228","0,2893","0,0648","0,154","0,2058",0,0,"0,1122","0,4064","0,0567","0,3599","0,0644","0,1575","0,2092",0,0,"0,1114","0,4151","0,0424","0,3667","0,1025","0,0049","0,0996",0,0,"0,1456","0,0544","0,5929","0,1045","0,4345","0,4131","168,27","172,72",,
general_trim,GENERAL,,PENDIENTES,Liebre (todas),2.648,6.020,46.628,"7,08","0,612","0,9425","1,07",0,"0,0068","0,5271","1,75","2,64","2,01","7,55","0,5963","0,8984","1,01",0,"0,0068","0,5219","1,74","1,42","1,91","6,2","0,0157","0,0441","0,063",0,0,"0,0052","0,011","1,21","0,107","1,35","0,0948","0,117","0,1177",0,"0,0011","0,0923","0,242","0,3351","0,2347","0,1096","0,1323","0,1278",0,"0,0012","0,113","0,2803","0,2357","0,2602","0,0162","0,0424","0,0541",0,0,"0,0065","0,009","0,8719","0,0965","1,83","1,36","72,59","89,07",,
general_mes,GENERAL,1/5/2026,GLOBAL,Liebre (todas),962,,3.564.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,2977","0,2827"
general_mes,GENERAL,1/5/2026,SECOS,Liebre (todas),962,13.509,1.940.819,"141,28","1,14","10,32","22,12",0,"0,0001","1,03","0,9235","3,91","32,44","39,45","1,09","10,28","21,86",0,"0,0001",1,"0,9143","2,38","32,14","37,53","0,0504","0,0399","0,2595",0,0,"0,0277","0,0092","1,54","0,2994","1,93","0,0292","0,2597","0,5613",0,0,"0,0263","0,0233","0,1002","0,821","0,0292","0,2714","0,5841",0,0,"0,0266","0,0241","0,0648","0,8554","0,047","0,0277","0,1323",0,0,"0,0186","0,0049","0,7695","0,1601","0,2809","0,2673","216,17","227,4",,
